objectPath,objectName,objectType,id
/Explore/HACKTHON_MAIN,MT_BILLING,MTT,4kxdb2DDE6zjAOiNyqDxoI
/Explore,HACKTHON_MAIN,Project,99IZalj1NAih0nVr00yUkQ
/Explore/HACKTHON_MAIN,MT_LOAD_ROOM,MTT,16tevaa95qtjZ5pgTYKMkd
/SYS,stagee,Connection,6exygV32cYPch1OchhGuyp
/SYS,DESKTOP-ATSMOU1,AgentGroup,a91Px2Tv3jMhFNLVkodz4O
/Explore/HACKTHON_MAIN,tf_Hospitality_ETL,TASKFLOW,kegzvDQgJ0Tb9XitZsQOc9
/Explore/HACKTHON_MAIN,M_ROOM_MASTER,DTEMPLATE,azO3g3SuJCVjftfHHowOMS
/Explore/HACKTHON_MAIN,M_CHECKIN_CHECKOUT,DTEMPLATE,dylUSyEgPWBkCefnpGoPwr
/SYS,oracle_HR,Connection,eAVwIxJrtQLhQDeqo6GJ66
/Explore/HACKTHON_MAIN,M_GUEST_MASTER,DTEMPLATE,in6kyGiQEsBebMgR1u0GYs
/SYS,stage,Connection,5TTOIRlWBsNbyUVfJGWz2O
/Explore/HACKTHON_MAIN,M_BILLING,DTEMPLATE,0N7H6ahqG9fc2KatNIvD2I
/Explore/HACKTHON_MAIN,MT_LOAD_GUEST,MTT,6sZOZcHlnUOe6eRP87hMm2
/Explore/HACKTHON_MAIN,MT_CHECKIN_CHECKOUT,MTT,7Gr6WfBJwI4jO9v0dF1f4d
